ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Duration,Magnitude
3630,0,Latvia,0,24.7977,56.652,79653.48,2010-03-27,2010-03-31,0,0,0,Snowmelt,1.0,4.0,12.671735366652431
3631,0,Rwanda,0,29.6861,-1.74307,8862.8,2010-03-26,2010-03-31,0,4,0,Heavy Rain,1.0,5.0,10.699055933195222
3632,FL-2010-000067-BRA,Brazil,0,-43.3333,-22.4446,15005.82,2010-04-04,2010-04-07,0,400,0,Torrential Rain,1.0,3.0,10.71480569349992
3633,FL-2010-000070-BGD,Bangladesh,0,89.5099,22.1528,7062.71,2010-03-27,2010-04-07,0,104,0,Heavy Rain,1.0,11.0,11.260479382324279
3634,0,Somalia,0,45.7901,2.82383,50278.2,2010-04-12,2010-04-13,0,0,200,Heavy Rain,1.0,1.0,10.825326862540692
3635,0,Serbia,0,21.7157,43.4667,13989.57,2010-04-20,2010-04-22,0,0,0,Heavy Rain,1.0,2.0,10.239214511506933
3637,0,Cuba,0,-75.3832,20.2623,10657.92,2010-04-17,2010-04-21,0,0,84,Heavy Rain,1.0,4.0,10.660352917849742
3636,0,India,0,91.8623,26.3166,13472.46,2010-04-18,2010-04-21,0,0,300,Heavy Rain,2.0,3.0,11.30016235002035
3638,0,China,0,111.13,25.1481,19903.73,2010-04-20,2010-04-21,0,0,0,Heavy Rain,1.0,1.0,9.898662430334358
3639,FL-2010-000077-NAM,Namibia,,23.2312,-18.6942,64627.58,2010-04-16,2010-04-21,0,0,11000,Heavy Rain,1.0,5.0,12.685834446078504
3640,0,Indonesia,0,113.972,-2.68196,103901.84,2010-04-16,2010-05-02,0,0,0,Heavy Rain,1.0,16.0,14.323790608506192
3641,0,USA,0,-87.2776,36.0678,79123.97,2010-05-01,2010-05-04,0,30,8000,Heavy Rain,1.0,3.0,12.377383430652293
3643,FL-2010-000086-AFG,Afghanistan,0,62.2514,34.3839,65810.91,2010-05-04,2010-05-14,0,70,40000,Torrential Rain,1.0,10.0,13.397126002034371
3642,0,Yemen,0,44.3104,14.0344,38889.73,2010-05-05,2010-05-06,0,7,0,Torrential Rain,1.0,1.0,10.568485484466912
3644,FL-2010-000087-TJK,Tajikistan,0,69.4972,38.2211,23137.24,2010-05-06,2010-05-08,0,24,400,Torrential Rain,1.0,2.0,10.742345900209463
3645,0,Indonesia,0,121.994,-3.87599,24518.72,2010-05-08,2010-05-10,0,0,0,Heavy Rain,1.0,2.0,10.800339366963657
3646,0,Kenya,0,36.0032,1.50224,196057.68,2010-05-08,2010-05-24,0,100,70000,Heavy Rain,1.5,16.0,15.364218010981338
3647,0,Pakistan,0,73.3855,35.5882,6706.99,2010-05-08,2010-05-23,0,0,0,Heavy Rain,1.0,15.0,11.518955746221263
3648,"FF-2010-000094-CZE,",Czech Republic,,19.644,49.7736,121758.8,2010-05-15,2010-05-24,0,12,0,Heavy Rain,2.0,9.0,14.600169075489761
3649,FL-2010-000092-LKA,Sri Lanka,0,80.5904,6.83965,19207.85,2010-05-08,2010-05-23,0,20,75000,Heavy Rain,1.0,15.0,12.57112452972666
3650,0,India,0,93.1226,26.6381,23813.35,2010-05-15,2010-06-26,0,0,10000,Monsoonal Rain,1.5,42.0,14.221136353161576
3651,FL-2010-000122-CHN,China,0,115.483,26.4442,234212.72,2010-05-15,2010-06-28,0,379,2370000,Monsoonal Rain,1.5,44.0,16.55363978325068
3652,TC-2010-000097-IND,India,0,79.4844,15.2182,63171.41,2010-05-18,2010-05-24,0,27,50000,Heavy rain,1.0,6.0,12.845366573593559
3653,TC-2010-000105-GTM,Guatamala,,-89.5636,14.0752,68697.09,2010-05-18,2010-05-24,0,172,94000,Tropical Cyclone Agatha,2.0,6.0,13.62236876902271
3654,0,New Zealand,0,169.918,-45.1567,25183.14,2010-05-25,2010-05-31,0,0,0,Heavy Rain,2.0,6.0,12.618836651756231
3655,0,Canada,0,-97.7891,49.8757,25787.99,2010-05-29,2010-05-31,0,0,0,Heavy Rain,1.0,2.0,10.85081133921312
3656,FL-2010-000107-PHL,Philippines,0,125.3,6.77841,22339.98,2010-05-29,2010-06-01,0,27,0,Torrential Rain,1.0,3.0,11.112745466035753
3657,0,Hungary,,19.7971,49.6716,174970.1,2010-05-29,2010-06-11,0,0,3000,Heavy Rain,1.0,13.0,14.637319738626587
3658,TC-2010-000108-PAK,Pakistan,,67.9052,25.1175,59028.73,2010-06-06,2010-06-07,0,23,4000,Tropical Cyclone Phet,1.0,1.0,10.985779553519135
3659,0,USA,0,-94.0948,34.5778,12234.56,2010-06-11,2010-06-11,0,20,0,Torrential Rain,2.0,1e-10,-12.920683736553345
3660,0,Spain,0,-6.21639,43.3544,6135.21,2010-06-11,2010-06-13,0,2,0,Torrential Rain,1.5,2.0,9.820411875056145
3661,0,France,0,6.59134,43.4973,7699.78,2010-06-16,2010-06-17,0,19,0,Torrential Rain,2.0,1.0,9.642094216564978
3662,FL-2010-000115-MMR,Myanmar,,94.0105,22.2804,94869.51,2010-06-15,2010-06-26,0,60,0,Monsoonal Rain,1.0,11.0,13.858152920209374
3667,FL-2010-000120-BRA,Brazil,0,-37.7816,-6.35589,320129.49,2010-06-22,2010-06-30,0,50,150000,Heavy Rain,2.0,8.0,15.44906957141443
3663,0,Ghana,0,-0.981038,7.93162,150908.11,2010-06-22,2010-06-26,0,30,0,Heavy Rain,1.0,4.0,13.310720748633122
3664,0,Romania,,23.1853,46.0793,56733.12,2010-06-22,2010-07-12,0,23,17500,Heavy Rain,2.0,20.0,14.634992900278146
3665,0,Bosnia and Herzegovina,0,17.705,43.9872,28641.6,2010-06-22,2010-06-26,0,46,0,Heavy Rain,1.0,4.0,11.648909846555817
3666,0,Pakistan,0,72.0792,36.027,9325.99,2010-06-22,2010-06-24,0,46,0,Torrential Rain,1.0,2.0,9.833707585656567
3668,0,Taiwan,0,121.606,24.9491,1399.49,2010-06-25,2010-06-27,0,0,0,Torrential Rain,1.0,2.0,7.93701034408085
3669,"FL-2010-000118-CIV,",Liberia,,-7.15018,6.01301,183842.33,2010-06-25,2010-06-27,0,12,0,Torrential Rain,1.0,2.0,12.814980947626616
3670,FL-2010-000121-DOM,Dominican Republic,0,-70.3928,19.2545,15731.6,2010-06-25,2010-06-27,0,0,0,Torrential Rain,1.0,2.0,10.356573887904853
3671,TC-2010-000123-MEX,Mexico,0,-100.417,24.3112,209024.88,2010-06-30,2010-07-07,0,6,50000,Tropical Cyclone Alex,2.0,7.0,14.889265896539344
3672,FL-2010-000129-UKR,Ukraine,0,24.7926,48.5898,34504.42,2010-06-27,2010-07-02,0,2,0,Heavy Rain,1.5,5.0,12.463745731297598
3673,0,Canada,0,-103.836,51.8657,86589.82,2010-07-02,2010-07-06,0,0,0,Heavy Rain,1.5,4.0,13.16069700490576
3674,FL-2010-000125-IND,India,,74.7785,30.1895,147437.23,2010-07-05,2010-07-15,0,98,523000,Monsoonal Rain,1.0,10.0,14.203742897857957
3675,FL-2010-000130-MDA,Moldova,,27.9665,46.8243,12206.49,2010-07-05,2010-07-07,0,0,2000,Heavy Rain,1.0,2.0,10.102870237050011
3676,0,China,0,97.1282,39.4866,396656.67,2010-07-06,2010-07-13,0,15,0,Torrential Rain,1.0,7.0,14.836736523476675
3677,0,Saudi Arabia,0,41.1722,20.6067,55999.09,2010-07-10,2010-07-12,0,7,85,Torrential Rain,1.0,2.0,11.626237900145199
3678,0,China,0,113.171,28.0056,575176.16,2010-07-01,2010-07-15,0,600,2400000,Torrential Rain,1.0,14.0,15.901488967691897
3679,0,Bangladesh,0,90.0355,23.9949,24987.26,2010-07-01,2010-07-13,0,0,600000,Monsoonal Rain,1.0,12.0,12.611028023748128
3680,0,Japan,0,133.643,34.6901,78651.79,2010-07-12,2010-07-13,0,0,0,Torrential Rain,1.0,1.0,11.272785667286563
3681,0,China,0,115.886,29.1384,235548.21,2010-07-07,2010-07-23,0,0,10000,Torrential Rain,1.5,16.0,15.547724715211427
3682,0,India,0,86.1983,25.5869,192748.71,2010-07-12,2010-07-14,0,0,5000,Monsoonal Rain,1.0,2.0,12.862289779356121
3683,0,Sudan,0,36.6717,18.7493,100438.85,2010-07-10,2010-08-11,0,33,10000,Heavy Rain,1.5,32.0,15.388505374492201
3684,0,Mexico,0,-100.55,25.5767,68346.59,2010-07-01,2010-07-14,0,0,0,Heavy  Rain,1.5,13.0,14.10276141620657
3685,0,Yemen,0,47.918,16.7388,176263.75,2010-07-10,2010-07-15,0,15,0,Torrential Rain,1.5,5.0,14.094639752358228
3686,0,Philippines,0,121.468,17.096,34784.5,2010-07-12,2010-07-15,0,23,0,"Tropical Storm ""Basyang""",1.5,3.0,11.961004561018923
3687,0,Pakistan,0,66.9459,30.5059,14176.85,2010-07-21,2010-07-23,0,60,0,Torrential Rain,1.5,2.0,10.657977920212026
3688,0,China,0,114.01,22.6733,10513.16,2010-07-21,2010-07-23,0,1,15000,Tropical Storm Chanthu,1.5,2.0,10.358995373380484
3689,0,USA,0,-91.0026,41.0582,214908.29,2010-07-25,2010-07-25,0,1,500,"Dam Failure, Heavy Rain",1.0,1e-10,-10.747884271971994
3690,0,Nepal,0,84.7848,28.3526,132628.58,2010-07-25,2010-07-25,0,12,0,Heavy Rain,1.0,1e-10,-11.230543060986037
3691,0,Indonesia,0,114.972,-2.14107,106460.15,2010-07-23,2010-07-25,0,21,15000,Heavy Rain,1.0,2.0,12.268673196265599
3692,0,China,0,111.074,31.5774,1049485.12,2010-07-23,2010-08-03,0,1100,300000,Monsoonal Rain,2.0,11.0,16.954852693320543
3693,0,Viet Nam,0,105.951,22.1069,68318.98,2010-07-23,2010-07-25,0,8,12400,Tropical Storm Chanthu,1.0,2.0,11.825090079168557
3694,0,Saudi Arabia,0,41.9223,21.515,346152.85,2010-07-23,2010-07-25,0,14,0,Torrential Rain,1.0,2.0,13.447782900057039
3695,FL-2010-000145-BFA,Burkino Faso,0,-1.38925,12.9425,160792.23,2010-07-21,2010-07-25,0,14,20000,Heavy Rain,1.0,4.0,13.374162674783879
3696,FL-2010-000141-PAK,Pakistan,0,73.2579,33.3634,129691.63,2010-07-27,2010-11-15,News,1750,10000000,Monsoonal Rain,2.0,111.0,17.1755922165555
3697,0,Afghanistan,0,68.8594,35.2106,176799.06,2010-07-27,2010-08-03,News,65,180,Torrential Rain,1.0,7.0,14.028679261484777
