,Economics,Governance,Social,Capacity,Ecosystem,Exposure,Food,Habitat,Health,Infrastructure,Sensitivity,Magnitude,Population,Population Density (People per Sq. Km.),"Net international migrants, both sexes",Febuary,March,April,May,June,July,August,September,October,November,December,Storms,DamBreak,Rain,Melting,TidesTsunami,binnedIDPs
1322,0.278549005839165,0.425775329259837,0.185706372827566,0.808282487344407,0.611249203083412,0.499645177597356,0.655266745167697,0.55829838061124,0.775977646156071,0.328177671596306,0.420974508222714,15.659526426229004,19689114,33.9,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,high
1323,0.267018372574194,0.388778069347417,0.185222426427372,0.800653190671042,0.611899281541156,0.499645177597356,0.646815576817055,0.550349729916399,0.808169840725357,0.325687554691581,0.435115527830707,12.244267111117669,20243135,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,high
1324,0.232102578586448,0.361752862424486,0.190939510750688,0.781343891561271,0.608516075285136,0.499645177597356,0.621657013878052,0.562127140932645,0.802876893523034,0.322530643598498,0.438472987979792,16.49473076492978,23772723,40.9,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,high
1325,0.258467565883318,0.341227017593345,0.193872723567702,0.763642961920708,0.608009413192647,0.499645177597356,0.622289845951721,0.561460982962123,0.795025786969007,0.292352514895821,0.437801716344681,13.529069734843713,25635410,44.1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,high
1326,0.258467565883318,0.341227017593345,0.193872723567702,0.763642961920708,0.608009413192647,0.499645177597356,0.622289845951721,0.561460982962123,0.795025786969007,0.292352514895821,0.437801716344681,14.815800400004347,25635410,44.1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,high
1327,0.250534351192428,0.341711796506221,0.198044777659299,0.768980092076554,0.608203077094643,0.499645177597356,0.622212079131844,0.561668484529226,0.792454872995113,0.306558142649825,0.436697832077861,14.24587255048083,26265521,45.2,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,high
1328,0.250534351192428,0.341711796506221,0.198044777659299,0.768980092076554,0.608203077094643,0.499645177597356,0.622212079131844,0.561668484529226,0.792454872995113,0.306558142649825,0.436697832077861,14.24587255048083,26265521,45.2,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,med
1329,0.246506760643488,0.340829220304532,0.201812712240847,0.76750234780626,0.60839674099664,0.499645177597356,0.633701505096804,0.561830453701495,0.75315768784438,0.292615426215713,0.418063494629885,12.97257088685868,26898646,46.3,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,low
1330,0.769604991598184,0.43141532059287,0.228506942764846,0.497292085722745,0.468992848002665,0.487395913866536,0.3885218083811,0.540539534810285,0.420959968006008,0.150274453081677,0.195974174880225,12.17428343026576,110876639,57.0,-183155,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,high
1331,0.769604991598184,0.43141532059287,0.228506942764846,0.497292085722745,0.468992848002665,0.487395913866536,0.3885218083811,0.540539534810285,0.420959968006008,0.150274453081677,0.195974174880225,15.805745624278812,110876639,57.0,-183155,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,high
1332,0.840537819829321,0.426285295483488,0.245338519318217,0.486664520900816,0.465899371203741,0.487395913866536,0.38447042498584,0.529149680901083,0.412821886727364,0.150276801433239,0.193722595667379,14.607228596534714,114222072,58.8,-41583,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,high
1333,0.446552923663321,0.414853939743065,0.262850355442624,0.479053482770345,0.460878883331874,0.487395913866536,0.383887276875685,0.521668257529578,0.394733960574245,0.156527388980743,0.190585389137448,14.243880212732613,120751101,62.1,-103669,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,high
